sample_id,audio_path,reference,reference_normalized,prediction_raw,prediction_cleaned,prediction_normalized,wer_raw,cer_raw,wer_cleaned,cer_cleaned,wer_normalized,cer_normalized,processing_time,category
45,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40042\IISc_RESPIN_hi_D1_40042_251001_F_BANK_401691_40000785.wav,ऑडिटर ने खाता बखूबी मिलाया,ऑडिटर ने खाता बखूबी मिलाया,<s>ऑ<s>ड<s>ि<s>ट<s>र<s> <s>न<s>े<s> <s>ख<s>ा<s>त<s>ा<s> <s>ब<s>ख<s>ू<s>ब<s>ी<s> <s>मि<s>ल<s>ा<s>य<s>ा<s> <s>,ऑडिटर ने खाता बखूबी मिलाया,ऑडिटर ने खाता बखूबी मिलाया,120.0,315.3846154,0.0,0.0,0.0,0.0,0.040019035,A_all_zero
146,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40702\IISc_RESPIN_hi_D1_40702_251001_F_BANK_401691_40354835.wav,ऑडिटर ने खाता बखूबी मिलाया,ऑडिटर ने खाता बखूबी मिलाया,<s>ऑ<s>ड<s>ि<s>ट<s>र<s> <s>न<s>े<s> <s>ख<s>ा<s>त<s>ा<s> <s>ब<s>ख<s>ू<s>ब<s>ी<s> <s>मि<s>ल<s>ा<s>य<s>ा<s> <s>,ऑडिटर ने खाता बखूबी मिलाया,ऑडिटर ने खाता बखूबी मिलाया,120.0,315.3846154,0.0,0.0,0.0,0.0,0.072195053,A_all_zero
158,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40715\IISc_RESPIN_hi_D1_40715_251001_F_AGRI_400853_40378431.wav,मुझे पुदीने की चटनी पसंद है,मुझे पुदीने की चटनी पसंद है,<s>म<s>ु<s>झ<s>े<s> <s>पु<s>द<s>ी<s>न<s>े<s> <s>क<s>ी<s> <s>च<s>ट<s>न<s>ी<s> प<s>स<s>ं<s>द<s> <s>ह<s>ै<s> <s>,मुझे पुदीने की चटनी पसंद है,मुझे पुदीने की चटनी पसंद है,116.6666667,303.7037037,0.0,0.0,0.0,0.0,0.039354324,A_all_zero
2110,D:\SPIRE Internship\IISc_RESPIN_test_hi\D5\41448\IISc_RESPIN_hi_D5_41448_249175_F_AGRI_419864_40686837.wav,अंजीर फिकस कैरिका का खाद्य फल है,अंजीर फिकस कैरिका का खाद्य फल है,<s>अ<s>ं<s>ज<s>ी<s>र<s> <s>फ<s>ि<s>क<s>स<s> <s>क<s>ै<s>र<s>ि<s>क<s>ा<s> <s>क<s>ा<s> <s>ख<s>ा<s>द<s>्<s>य<s> <s>फ<s>ल<s> <s>ह<s>ै<s> <s>,अंजीर फिकस कैरिका का खाद्य फल है,अंजीर फिकस कैरिका का खाद्य फल है,114.2857143,321.875,0.0,0.0,0.0,0.0,0.043220758,A_all_zero
2083,D:\SPIRE Internship\IISc_RESPIN_test_hi\D5\41429\IISc_RESPIN_hi_D5_41429_249175_M_AGRI_419864_40646424.wav,अंजीर फिकस कैरिका का खाद्य फल है,अंजीर फिकस कैरिका का खाद्य फल है,<s>अ<s>ं<s>ज<s>ी<s>र<s> <s>फ<s>ि<s>क<s>स<s> <s>कै<s>र<s>ि<s>क<s>ा<s> <s>क<s>ा<s> <s>ख<s>ा<s>द्य<s> <s>फ<s>ल<s> <s>ह<s>ै<s> <s>,अंजीर फिकस कैरिका का खाद्य फल है,अंजीर फिकस कैरिका का खाद्य फल है,114.2857143,293.75,0.0,0.0,0.0,0.0,0.038975954,A_all_zero
174,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40725\IISc_RESPIN_hi_D1_40725_251001_F_AGRI_402305_40396291.wav,परवल की मिठाई भी बनाई जाती है,परवल की मिठाई भी बनाई जाती है,<s>प<s>र<s>व<s>ल<s> <s>की<s> <s>मि<s>ठ<s>ा<s>ई<s> भी<s> <s>ब<s>न<s>ा<s>ई<s> <s>ज<s>ा<s>त<s>ी<s> <s>ह<s>ै<s> <s>,परवल की मिठाई भी बनाई जाती है,परवल की मिठाई भी बनाई जाती है,114.2857143,282.7586207,0.0,0.0,0.0,0.0,0.034821749,A_all_zero
206,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40766\IISc_RESPIN_hi_D1_40766_700046_F_AGRI_400821_40459559.wav,कृष्णा वैली गाय महाराष्ट्र में पाई जाती है,कृष्णा वैली गाय महाराष्ट्र में पाई जाती है,<s>क<s>ृ<s>ष<s>्<s>ण<s>ा<s> <s>व<s>ै<s>ल<s>ी<s> <s>ग<s>ा<s>य<s> <s>म<s>ह<s>ा<s>र<s>ा<s>ष<s>्<s>ट<s>्<s>र<s> <s>मे<s>ं<s> <s>प<s>ा<s>ई<s> <s>ज<s>ा<s>त<s>ी<s> <s>ह<s>ै<s> <s>,कृष्णा वैली गाय महाराष्ट्र में पाई जाती है,कृष्णा वैली गाय महाराष्ट्र में पाई जाती है,112.5,309.5238095,0.0,0.0,0.0,0.0,0.047560453,A_all_zero
145,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40702\IISc_RESPIN_hi_D1_40702_251001_F_AGRI_400070_40350317.wav,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,<s>म<s>व<s>े<s>श<s>ि<s>य<s>ो<s>ं<s> <s>क<s>ा<s> <s>प<s>र<s>ि<s>व<s>े<s>श<s> <s>उ<s>न<s>क<s>े<s> <s>ल<s>ि<s>ए<s> <s>आ<s>र<s>ा<s>म<s>द<s>ा<s>य<s>क<s> <s>ह<s>ो<s>न<s>ा<s> च<s>ा<s>ह<s>ि<s>ए<s> <s>,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,112.5,308.5106383,0.0,0.0,0.0,0.0,0.110184193,A_all_zero
309,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41648\IISc_RESPIN_hi_D1_41648_NA_F_AGRI_400070_40959979.wav,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,<s>म<s>व<s>े<s>श<s>ि<s>य<s>ो<s>ं<s> <s>क<s>ा<s> <s>प<s>र<s>ि<s>व<s>े<s>श<s> <s>उ<s>न<s>क<s>े<s> <s>ल<s>ि<s>ए<s> <s>आ<s>र<s>ा<s>म<s>द<s>ा<s>य<s>क<s> <s>ह<s>ो<s>न<s>ा<s> च<s>ा<s>ह<s>ि<s>ए<s> <s>,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,112.5,308.5106383,0.0,0.0,0.0,0.0,0.051649809,A_all_zero
202,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40766\IISc_RESPIN_hi_D1_40766_700046_F_AGRI_400788_40329092.wav,मेरे दोस्त के पिता टेरेस खेती करते हैं,मेरे दोस्त के पिता टेरेस खेती करते हैं,<s>म<s>े<s>र<s>े<s> <s>द<s>ो<s>स<s>्<s>त<s> <s>के<s> <s>प<s>ि<s>त<s>ा<s> <s>ट<s>े<s>र<s>े<s>स<s> <s>ख<s>े<s>त<s>ी<s> <s>क<s>र<s>त<s>े<s> <s>ह<s>ैं<s> <s>,मेरे दोस्त के पिता टेरेस खेती करते हैं,मेरे दोस्त के पिता टेरेस खेती करते हैं,112.5,302.6315789,0.0,0.0,0.0,0.0,0.050642014,A_all_zero
