reference,prediction,processing_time
ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,<s>ऋ<s>ण<s> <s>ग<s>ा<s>र<s>ं<s>ट<s>ी<s> <s>क<s>ो<s> <s>अ<s>म<s>ी<s>र<s> <s>औ<s>र<s> <s>भ<s>र<s>ो<s>स<s>े<s> <s>म<s>ं<s>द<s> <s>आ<s>द<s>म<s>ी<s> <s>ह<s>ी<s> <s>दे<s> <s>स<s>क<s>त<s>ा<s> <s>ह<s>ै<s> <s>,0.20399808883666992
अरबी के पत्तों की पकौड़ी तथा सब्जी बनाई जाती है,<s>अ<s>र<s>ब<s>ी<s> क<s>े<s> <s>प<s>त<s>्<s>त<s>ो<s>ं<s> <s>क<s>ी<s> <s>प<s>क<s>ौ<s>ड़<s>ी<s> <s>त<s>थ<s>ा<s> <s>स<s>ब<s>्<s>ज<s>ी<s> ब<s>न<s>ा<s>ई<s> <s>ज<s>ा<s>त<s>ी<s> ह<s>ै<s> <s>,0.0564725399017334
पिग्गी बैंक को पेन्नी बैंक या मनी बॉक्स के नाम से भी जाना जाता है,<s>प<s>ी<s>ग<s>ी<s> <s>ब<s>ै<s>ं<s>क<s> <s>क<s>ो<s> <s>ब<s>ै<s>न<s>ी<s> <s>ब<s>ै<s>ं<s>क<s> <s>य<s>ा<s> <s>म<s>न<s>ी<s> <s>ब<s>ॉ<s>क<s>्<s>स<s> <s>क<s>े<s> <s>न<s>ा<s>म<s> <s>स<s>े<s> <s>भ<s>ी<s> <s>ज<s>ा<s>न<s>ा<s> ज<s>ा<s>त<s>ा<s> <s>ह<s>ै<s>,0.05802655220031738
हाइब्रिड के मामलों में कफी मात्रा में ब्याज की वापसी भी की जाती है,<s>ह<s>ा<s>इ<s>ब<s>्<s>रि<s>ड<s> <s>क<s>े<s> <s>म<s>ा<s>म<s>ल<s>ो<s>ं<s> <s>म<s>े<s>ं<s> <s>क<s>ा<s>फ<s>ी<s> म<s>ा<s>त<s>्<s>र<s>ा<s> <s>मे<s>ं<s> <s>ब<s>्<s>य<s>ा<s>ज<s> <s>की<s> व<s>ा<s>प<s>स<s>ी<s> <s>भ<s>ी<s> <s>क<s>ी<s> <s>ज<s>ा<s>त<s>ी<s> <s>ह<s>ै<s> <s>,0.06575131416320801
क्रेप चमेली अपनी खुसबू के लिए प्रसिद्ध है,<s>क्<s>र<s>ै<s>प<s> <s>च<s>म<s>े<s>ल<s>ी<s> <s>अ<s>प<s>न<s>ी<s> <s>ख<s>ु<s>श<s>ब<s>ू<s> <s>क<s>े<s> <s>ल<s>ि<s>ए<s> <s>प<s>्र<s>स<s>ि<s>द<s>्<s>ध<s> <s>ह<s>ै<s> <s>,0.04054760932922363
एक एकड़ में कितना पोटाश डालना चाहिए ?,<s>ए<s>क<s> <s>ए<s>क<s>क<s>ड़<s> म<s>ें<s> क<s>ि<s>त<s>न<s>ा<s> <s>प<s>ो<s>ट<s>ा<s>श<s> <s>ड<s>ा<s>ल<s>न<s>ा<s> च<s>ा<s>ह<s>ि<s>ए<s> <s>,0.04987072944641113
जुगाली करने वाले जानवर के आमाशय के कितने भाग होते हैं ?,<s>ज<s>ु<s>ग<s>ा<s>ल<s>ी<s> <s>क<s>र<s>न<s>े<s> <s>व<s>ा<s>ल<s>े<s> <s>ज<s>ा<s>न<s>व<s>र<s> <s>क<s>े<s> <s>आ<s>म<s>ा<s>श<s>्<s>य<s> क<s>े<s> <s>क<s>ि<s>त<s>न<s>े<s> <s>भ<s>ा<s>ग<s> <s>ह<s>ो<s>त<s>े<s> <s>ह<s>ै<s>ं<s> <s>,0.048951148986816406
सरकारी वित्तीय संस्थाएं क्या हैं ?,<s>स<s>र<s>क<s>ा<s>र<s>ी<s> <s>व<s>ि<s>त्त<s>ी<s>य<s> स<s>ं<s>स<s>्<s>थ<s>ा<s>एँ<s> क<s>्<s>य<s>ा<s> <s>है<s>ं<s> <s>,0.025992393493652344
के.वाई.सी के चार स्तंभ क्या हैं ?,<s>क<s>े<s>व<s>आ<s>ई<s>स<s>ी<s> <s>क<s>े<s> <s>च<s>ा<s>र<s> <s>स<s>्<s>त<s>ं<s>भ<s> क<s>्<s>य<s>ा<s> ह<s>ै<s> <s>,0.03500843048095703
किसानों को वित्तीय सहायता कौन प्रदान करता है ?,<s>कि<s>स<s>ा<s>न<s>ों<s> <s>क<s>ो<s> <s>व<s>ि<s>त्त<s>ीय<s> <s>स<s>ह<s>ा<s>य<s>त<s>ा<s> क<s>ौ<s>न<s> प्र<s>द<s>ा<s>न<s> <s>क<s>र<s>त<s>ा<s> <s>ह<s>ै<s> <s>,0.03879380226135254
ए.टी.एम से पैसे कहाँ कहाँ चुकाए जा सकते हैं ?,<s>ए<s>ट<s>ी<s>ए<s>म<s> <s>स<s>े<s> <s>प<s>ै<s>स<s>े<s> <s>क<s>ह<s>ां<s> <s>क<s>हां<s> <s>च<s>ु<s>क<s>ा<s>ए<s> <s>ज<s>ा<s> <s>स<s>क<s>त<s>े<s> ह<s>ै<s>ं<s> <s>,0.04476737976074219
प्रधानमंत्री फसल बीमा योजना का पैसा कैसे चेक करें ?,<s>प्र<s>ध<s>ा<s>न<s>म<s>ं<s>त्री<s> <s>फ<s>स<s>ल<s> <s>बी<s>म<s>ा<s> <s>य<s>ो<s>ज<s>न<s>ा<s> क<s>ा<s> <s>प<s>ै<s>स<s>ा<s> क<s>ै<s>स<s>े<s> च<s>े<s>क<s> क<s>र<s>ें<s> <s>,0.04761075973510742
कर से तकनीकी प्रगति की तेजी हुई है,<s>क<s>र<s> <s>स<s>े<s> <s>त<s>क<s>न<s>ी<s>क<s>क<s>ी<s> <s>प<s>्र<s>ग<s>त<s>ि<s> <s>क<s>ी<s> <s>कत<s>े<s>ज<s>ी<s> ह<s>ु<s>ई<s> <s>ह<s>ै<s> <s>,0.04865598678588867
कृष्णा वैली गाय महाराष्ट्र में पाई जाती है,<s>क<s>ृ<s>ष<s>्<s>ण<s>ा<s> <s>व<s>ै<s>ल<s>ी<s> <s>ग<s>ा<s>य<s> <s>म<s>ह<s>ा<s>र<s>ा<s>ष्<s>्र <s>मे<s>ं<s> <s>प<s>ा<s>ई<s> ज<s>ा<s>त<s>ी<s> ह<s>ै<s> <s>,0.04906105995178223
बाजार में चिचिण्डा अब इतनी आसानी से नहीं मिलता,<s>ब<s>ा<s>ज<s>ा<s>र<s> <s>म<s>े<s>ं<s> <s>च<s>ि<s>च<s>ि<s>ं<s>ल<s>ा<s> <s>अ<s>ब<s> <s>इ<s>त<s>न<s>ी<s> <s>आ<s>स<s>ा<s>न<s>ी<s> <s>स<s>े<s> <s>न<s>ह<s>ीं<s> <s>म<s>ि<s>ल<s>त<s>ा<s> <s>,0.04965019226074219
लेयर मुर्गियां दो या तीन प्रकार की होती है,<s>ल<s>े<s>य<s>र<s> <s>मु<s>र्<s>ग<s>ि<s>य<s>ा<s> <s>द<s>ो<s> <s>य<s>ा<s> <s>त<s>ी<s>न<s> प्<s>र<s>क<s>ा<s>र<s> <s>क<s>ी<s> <s>हो<s>त<s>ी<s> ह<s>ै<s> <s>,0.04939556121826172
जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,<s>ज<s>ू<s>र<s> <s>श<s>ी<s>त<s>ल<s> <s>ब<s>ि<s>ह<s>ा<s>र<s> <s>क<s>े<s> <s>मि<s>थ<s>ि<s>ल<s>ा<s> <s>ए<s>व<s>ं<s> <s>न<s>े<s>प<s>ा<s>ल<s> <s>क<s>ा<s> <s>फ<s>स<s>ल<s> <s>उ<s>त<s>्<s>भ<s>व<s> <s>ह<s>ै<s> <s>,0.07119536399841309
रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,<s>र<s>ो<s>ह<s>ि<s>त<s> न<s>े<s> <s>क<s>ह<s>ा<s> <s>क<s>ि<s> <s>उ<s>स<s>े<s> <s>अ<s>द<s>र<s>त<s> <s>ख<s>ा<s>न<s>ा<s> <s>प<s>स<s>ं<s>द<s> न<s>ह<s>ीं<s> <s>ह<s>ै<s> <s>,0.04603266716003418
पर्सनल लोन के लिए कौन सा बैंक सबसे अच्छा है ?,<s>प<s>र<s>्<s>स<s>न<s>ल<s> <s>ल<s>ो<s>न<s> <s>क<s>े<s> <s>ल<s>ि<s>ए<s> <s>क<s>ौ<s>न<s> <s>स<s>ा<s> <s>बै<s>ं<s>क<s> स<s>ब<s>स<s>े<s> अ<s>च<s>्छ<s>ा<s> <s>ह<s>ै<s> <s>,0.04208183288574219
रबी फसल के दो उदाहरण दीजिए ?,<s>र<s>ब<s>ी<s> फ<s>स<s>ल<s> <s>क<s>े<s> <s>द<s>ो<s> उ<s>द<s>ाह<s>र<s>ण<s> भ<s>े<s>ज<s>ि<s> <s>,0.02879023551940918
